	CityScale	CityName
	100	Bowling Green
	1	Bradley
	1	Davenport
	1000	Davenport
	100	Dundee
	10	Eagle Lake
	1	Eaton Park
	100	Fort Meade
	100	Frostproof
	1000	Haines City
	1	Haines City
	1	Highland City
	1	Homeland
	1	Intercession City
	100	Lake Alfred
	10	Lake Hamilton
	1000	Lake Placid
	1000	Lake Wales
	1	Lorida
	1000	Lake Wales
	100	Mulberry
	1	Ona
	100	Polk City
	1000	Sebring
	100	Sebring
	1000	Wauchula
	1	Sebring
	10	Sebring
	1	Waverly
	1000	Winter Haven
	1000	Winter Haven
	1	Winter Haven
	1	Winter Haven
	1000	Winter Haven
	100	Zolfo Springs
	100	Davenport
	100	Davenport
	100	Lake Wales
	1000	Fort Myers
	10	Fort Myers
	1000	North Fort Myers
	1000	Cape Coral
	1000	Fort Myers
	1000	Fort Myers
	1000	Fort Myers
	1000	Cape Coral
	1000	Fort Myers
	1000	Fort Myers
	1000	Cape Coral
	1	Cape Coral
	1000	Fort Myers
	100	North Fort Myers
	1000	Fort Myers
	10	Alva
	100	Boca Grande
	10	Bokeelia
	10	Captiva
	1000	Estero
	1	Estero
	1	Felda
	1000	Fort Myers Beach
	1	Fort Myers Beach
	100	Labelle
	1000	Lehigh Acres
	1	Murdock
	1	Palmdale
	1	Pineland
	10	Placida
	1	Rotonda West
	1000	Port Charlotte
	1	Port Charlotte
	1000	Punta Gorda
	1	Punta Gorda
	1000	Port Charlotte
	100	Port Charlotte
	100	Port Charlotte
	10	Punta Gorda
	10	Saint James City
	1000	Sanibel
	1	Venus
	1000	Fort Myers
	100	Fort Myers
	1	Lehigh Acres
	100	Lehigh Acres
	10	Lehigh Acres
	1	Lehigh Acres
	1	Lehigh Acres
	1	Labelle
	1	Lehigh Acres
	1000	Punta Gorda
	10	Port Charlotte
	100	Punta Gorda
	100	Punta Gorda
	1000	Cape Coral
	1000	Cape Coral
	100	Cape Coral
	1	Fort Myers
	10	Naples
	1000	Naples
	1000	Naples
	1000	Naples
	100	Naples
	1000	Naples
	1000	Naples
	1000	Naples
	1000	Naples
	100	Naples
	100	Naples
	1000	Naples
	10	Naples
	1000	Naples
	100	Naples
	1000	Bonita Springs
	1000	Bonita Springs
	1	Copeland
	10	Everglades City
	1	Ochopee
	1000	Immokalee
	1	Immokalee
	1000	Marco Island
	1	Marco Island
	100	Bradenton
	1000	Bradenton
	1000	Bradenton
	1000	Bradenton
	1	Bradenton
	1000	Bradenton
	1000	Bradenton
	1000	Bradenton
	1000	Bradenton
	100	Bradenton
	10	Bradenton
	10	Cortez
	100	Anna Maria
	1000	Bradenton Beach
	1	Holmes Beach
	100	Parrish
	1	Palmetto
	1000	Palmetto
	1000	Ellenton
	1000	Englewood
	1000	Englewood
	100	Longboat Key
	100	Osprey
	10	Sarasota
	1000	Sarasota
	1000	Sarasota
	1000	Sarasota
	1000	Sarasota
	100	Sarasota
	1000	Sarasota
	1000	Sarasota
	1000	Sarasota
	1000	Sarasota
	1000	Sarasota
	100	Sarasota
	100	Sarasota
	1000	Sarasota
	1	Terra Ceia
	100	Myakka City
	1	Oneco
	1000	Arcadia
	10	Nocatee
	10	Arcadia
	1	Laurel
	1	Nokomis
	1000	Nokomis
	1	Sarasota
	1000	Venice
	100	North Port
	1000	North Port
	10	North Port
	1	North Port
	1	North Port
	1000	Venice
	1000	Venice
	1	Englewood
	1000	Belleview
	1	Belleview
	1	Crystal River
